,nn,nl,sw,uw,E_U,E_V,E_W,time,Avg
0,100,10,1,1,1.72,29.48,44.79,4817.92,25.33
1,100,10,1,5,1.56,27.82,41.76,5196.15,23.71
2,100,10,1,10,1.68,28.29,48.7,5073.0,26.22
3,100,10,5,1,1.58,26.59,41.18,5781.06,23.12
4,100,10,5,5,1.69,27.16,45.44,6480.06,24.76
5,100,10,5,10,1.74,28.98,44.16,5347.4,24.96
6,100,10,10,1,1.67,27.22,46.18,5187.21,25.02
7,100,10,10,5,1.8,27.53,40.86,6684.72,23.4
8,100,10,10,10,1.78,27.42,44.14,5803.82,24.45
