,$U$ [m/s],$\overline{u^2}$ [m$^2$/s$^2$],$\overline{v^2}$ [m$^2$/s$^2$],$\overline{uv}$ [m$^2$/s$^2$]
0,10.3778,5.7443,39.7896,11.103
1,7.2939,11.8556,16.2475,8.5535
2,8.2688,9.96,17.5647,35.5477
