,$U$ [m/s],$\overline{u^2}$ [m$^2$/s$^2$],$\overline{v^2}$ [m$^2$/s$^2$],$\overline{uv}$ [m$^2$/s$^2$]
0,3.0723,2.7241,1.1899,12.4638
1,1.4646,0.8408,1.1619,2.9764
2,2.3825,0.9945,0.7399,3.8976
